id;full_name;description;language;stargazers_count;forks_count;open_issues_count;pr_count
180190854;appwrite/appwrite;Build like a team of hundreds_;TypeScript;48027;4261;776;485
178991158;starship/starship;☄🌌️  The minimal, blazing-fast, and infinitely customizable prompt for any shell!;Rust;47963;2072;853;224
72495579;go-gitea/gitea;Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD;Go;47961;5726;2731;568
323965659;AlistGo/alist;🗂️A file list/WebDAV program that supports multiple storages, powered by Gin and Solidjs. / 一个支持多存储的文件列表/WebDAV程序，使用 Gin 和 Solidjs。;Go;47844;6379;472;458
49609581;PowerShell/PowerShell;PowerShell for every system!;C#;46963;7576;1143;433
1644196;JuliaLang/julia;The Julia Programming Language;Julia;46744;5569;5046;310
34302698;serverless/serverless;⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.;JavaScript;46633;5737;1229;368
646410686;hiyouga/LLaMA-Factory;Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024);Python;46341;5651;421;232
5152285;square/okhttp;Square’s meticulous HTTP client for the JVM, Android, and GraalVM.;Kotlin;46269;9203;169;205
16752620;gogs/gogs;Gogs is a painless self-hosted Git service;Go;46172;5019;961;365
